Node_Index	Parent_Node_Index	Node
0	None	2 1 7 8 6 0 3 4 5
1	0	2 1 7 8 6 5 3 4 0
2	0	2 1 0 8 6 7 3 4 5
3	0	2 1 7 8 0 6 3 4 5
4	1	2 1 7 8 6 5 3 0 4
5	2	2 0 1 8 6 7 3 4 5
6	3	2 1 7 8 4 6 3 0 5
7	3	2 0 7 8 1 6 3 4 5
8	3	2 1 7 0 8 6 3 4 5
9	4	2 1 7 8 0 5 3 6 4
10	4	2 1 7 8 6 5 0 3 4
11	5	2 6 1 8 0 7 3 4 5
12	5	0 2 1 8 6 7 3 4 5
13	6	2 1 7 8 4 6 0 3 5
14	6	2 1 7 8 4 6 3 5 0
15	7	0 2 7 8 1 6 3 4 5
16	7	2 7 0 8 1 6 3 4 5
17	8	2 1 7 3 8 6 0 4 5
18	8	0 1 7 2 8 6 3 4 5
19	9	2 0 7 8 1 5 3 6 4
20	9	2 1 7 0 8 5 3 6 4
21	9	2 1 7 8 5 0 3 6 4
22	10	2 1 7 0 6 5 8 3 4
23	11	2 6 1 8 4 7 3 0 5
24	11	2 6 1 0 8 7 3 4 5
25	11	2 6 1 8 7 0 3 4 5
26	12	8 2 1 0 6 7 3 4 5
27	13	2 1 7 0 4 6 8 3 5
28	14	2 1 7 8 4 0 3 5 6
29	15	8 2 7 0 1 6 3 4 5
30	16	2 7 6 8 1 0 3 4 5
31	17	2 1 7 3 8 6 4 0 5
32	18	1 0 7 2 8 6 3 4 5
33	19	0 2 7 8 1 5 3 6 4
34	19	2 7 0 8 1 5 3 6 4
35	20	2 1 7 3 8 5 0 6 4
36	20	0 1 7 2 8 5 3 6 4
37	21	2 1 7 8 5 4 3 6 0
38	21	2 1 0 8 5 7 3 6 4
39	22	0 1 7 2 6 5 8 3 4
40	22	2 1 7 6 0 5 8 3 4
41	23	2 6 1 8 4 7 0 3 5
42	23	2 6 1 8 4 7 3 5 0
43	24	2 6 1 3 8 7 0 4 5
44	24	0 6 1 2 8 7 3 4 5
45	25	2 6 1 8 7 5 3 4 0
46	25	2 6 0 8 7 1 3 4 5
47	26	8 2 1 3 6 7 0 4 5
48	26	8 2 1 6 0 7 3 4 5
49	27	0 1 7 2 4 6 8 3 5
50	27	2 1 7 4 0 6 8 3 5
51	28	2 1 0 8 4 7 3 5 6
52	28	2 1 7 8 0 4 3 5 6
53	29	8 2 7 3 1 6 0 4 5
54	29	8 2 7 1 0 6 3 4 5
55	30	2 7 6 8 1 5 3 4 0
56	30	2 7 6 8 0 1 3 4 5
57	31	2 1 7 3 0 6 4 8 5
58	31	2 1 7 3 8 6 4 5 0
59	32	1 8 7 2 0 6 3 4 5
60	32	1 7 0 2 8 6 3 4 5
61	33	8 2 7 0 1 5 3 6 4
62	34	2 7 5 8 1 0 3 6 4
63	35	2 1 7 3 8 5 6 0 4
64	36	1 0 7 2 8 5 3 6 4
65	37	2 1 7 8 5 4 3 0 6
66	38	2 0 1 8 5 7 3 6 4
67	39	1 0 7 2 6 5 8 3 4
68	40	2 1 7 6 3 5 8 0 4
69	40	2 0 7 6 1 5 8 3 4
70	40	2 1 7 6 5 0 8 3 4
71	41	2 6 1 0 4 7 8 3 5
72	42	2 6 1 8 4 0 3 5 7
73	43	2 6 1 3 8 7 4 0 5
74	44	6 0 1 2 8 7 3 4 5
75	45	2 6 1 8 7 5 3 0 4
76	46	2 0 6 8 7 1 3 4 5
77	47	8 2 1 3 6 7 4 0 5
78	48	8 2 1 6 4 7 3 0 5
79	48	8 0 1 6 2 7 3 4 5
80	48	8 2 1 6 7 0 3 4 5
81	49	1 0 7 2 4 6 8 3 5
82	50	2 1 7 4 3 6 8 0 5
83	50	2 0 7 4 1 6 8 3 5
84	50	2 1 7 4 6 0 8 3 5
85	51	2 0 1 8 4 7 3 5 6
86	52	2 0 7 8 1 4 3 5 6
87	52	2 1 7 0 8 4 3 5 6
88	53	8 2 7 3 1 6 4 0 5
89	54	8 2 7 1 4 6 3 0 5
90	54	8 0 7 1 2 6 3 4 5
91	54	8 2 7 1 6 0 3 4 5
92	55	2 7 6 8 1 5 3 0 4
93	56	2 7 6 8 4 1 3 0 5
94	56	2 7 6 0 8 1 3 4 5
95	57	2 0 7 3 1 6 4 8 5
96	57	2 1 7 0 3 6 4 8 5
97	57	2 1 7 3 6 0 4 8 5
98	58	2 1 7 3 8 0 4 5 6
